,county,population,median_home_value,median_gross_rent,median_age,household_income,per_capita_income,caucasian,african_american,native_american,asian,hispanic,state,county_fips_x,pop_density,state_num,percent_african_american,percent_caucasian,percent_asian,percent_native_american,percent_hispanic,republican
78,Benton,18989.0,116500.0,609.0,53.3,38028.0,23984.0,18259.0,54.0,206.0,13.0,376.0,Missouri,15,27.61622173200000,29,0.0028437516456896097,0.9615566907156775,0.0006846068776660172,0.010848385907630733,0.019800937384801726,0.7745919243986255
79,Carter,6197.0,116600.0,607.0,41.0,39415.0,21884.0,5900.0,3.0,60.0,0.0,148.0,Missouri,35,11.79047940300000,29,0.00048410521219945134,0.9520735839922543,0.0,0.009682104243989027,0.0238825238018396,0.8171589310829818
80,Dade,7590.0,81300.0,604.0,46.4,39979.0,21538.0,7236.0,21.0,67.0,11.0,156.0,Missouri,57,15.43028533900000,29,0.002766798418972332,0.9533596837944665,0.0014492753623188406,0.008827404479578393,0.020553359683794466,0.8058719311566692
81,Linn,12186.0,82700.0,554.0,42.1,43642.0,24150.0,11783.0,70.0,19.0,36.0,270.0,Missouri,115,19.36358792900000,29,0.005744296733957,0.9669292630887905,0.0029542097488921715,0.001559166256359757,0.022156573116691284,0.7316985860032218
82,Howell,40102.0,104500.0,601.0,40.6,36143.0,20873.0,38602.0,188.0,216.0,178.0,848.0,Missouri,91,43.26456481000000,29,0.00468804548401576,0.96259538177647,0.00443868136252556,0.00538626502418832,0.021146077502368958,0.7959323975938126
83,Johnson,53689.0,151100.0,791.0,30.1,53056.0,24146.0,47847.0,2329.0,281.0,936.0,2260.0,Missouri,101,65.19305619400000,29,0.043379463204753305,0.8911881390973942,0.01743373875467973,0.005233846784257483,0.04209428374527371,0.6492049971607041
84,Laclede,35507.0,114400.0,666.0,40.4,46192.0,21577.0,33803.0,196.0,273.0,117.0,846.0,Missouri,105,46.71931479500000,29,0.005520038302306587,0.952009462922804,0.0032951249049483202,0.007688624778212747,0.0238262877742417,0.8025045168525325
85,Maries,8884.0,122200.0,569.0,45.0,44436.0,23729.0,8732.0,21.0,73.0,22.0,233.0,Missouri,125,16.50352913700000,29,0.0023638000900495274,0.9828905898244035,0.002476361999099505,0.008217019360648357,0.026226924808644754,0.7913333333333333
86,Phelps,44789.0,129400.0,718.0,35.2,42846.0,24304.0,40575.0,1206.0,375.0,1683.0,1105.0,Missouri,161,66.34994812400000,29,0.02692625421420438,0.9059143986246623,0.0375761905825091,0.008372591484516287,0.02467123624104133,0.6850105104295802
87,Platte,98824.0,216600.0,1001.0,38.3,76912.0,39427.0,84678.0,6636.0,410.0,2676.0,5821.0,Missouri,165,248.74104911000000,29,0.06714968023961791,0.8568566340160285,0.02707844248360722,0.004148789767667773,0.05890269570144904,0.5304899253349699
88,St. Francois,66342.0,120700.0,648.0,39.6,45774.0,22575.0,61654.0,2955.0,204.0,342.0,1022.0,Missouri,187,148.74295845000000,29,0.0445419191462422,0.9293358656657924,0.005155105363118386,0.003074975128877634,0.015405022459377167,0.7064056939501779
89,Andrew,17403.0,140100.0,757.0,42.4,55683.0,28027.0,16646.0,349.0,29.0,50.0,413.0,Missouri,3,40.94017601500000,29,0.020054013675803024,0.9565017525713957,0.002873067861862897,0.0016663793598804804,0.02373154053898753,0.7292122538293216
90,Carroll,8843.0,84100.0,538.0,43.1,42149.0,24597.0,8457.0,200.0,21.0,19.0,138.0,Missouri,33,12.49457061600000,29,0.02261675901843266,0.9563496550944249,0.0021485921067511027,0.0023747596969354292,0.015605563722718534,0.7979821141939922
91,Daviess,8302.0,107500.0,560.0,40.5,50380.0,24081.0,8066.0,85.0,27.0,12.0,129.0,Missouri,61,14.69601343400000,29,0.010238496747771622,0.9715731149120694,0.001445434834979523,0.003252228378703927,0.015538424476029872,0.7701085443918729
92,Knox,3951.0,71900.0,492.0,44.0,40383.0,22020.0,3812.0,21.0,0.0,18.0,40.0,Missouri,103,7.85502228240000,29,0.005315110098709187,0.964819033156163,0.004555808656036446,0.0,0.010124019235636548,0.7572192513368984
93,Marion,28672.0,121400.0,660.0,39.1,46762.0,23589.0,26266.0,1167.0,110.0,201.0,495.0,Missouri,127,65.29766135800000,29,0.04070172991071429,0.9160853794642857,0.007010323660714286,0.0038364955357142855,0.017264229910714284,0.7280105116710466
94,Osage,13619.0,146000.0,532.0,40.3,58476.0,26037.0,13333.0,39.0,91.0,9.0,108.0,Missouri,151,22.44552221000000,29,0.0028636463763859316,0.9789999265731698,0.0006608414714736765,0.006681841544900507,0.007930097657684118,0.8259520451339916
95,Ripley,13693.0,85000.0,543.0,42.7,33343.0,17502.0,13184.0,52.0,64.0,33.0,184.0,Missouri,181,21.10776768200000,29,0.0037975607974877674,0.9628277221938216,0.0024099905060980063,0.004673920981523406,0.013437522821879792,0.8186097031136857
96,Warren,33908.0,172400.0,794.0,40.1,57948.0,27523.0,31694.0,707.0,88.0,213.0,1118.0,Missouri,219,83.17403733700000,29,0.020850536746490504,0.9347056741771853,0.006281703432818214,0.0025952577562817036,0.03297157013094255,0.7039406994424734
97,Audrain,25735.0,98300.0,648.0,39.7,43761.0,21819.0,22929.0,1569.0,103.0,46.0,767.0,Missouri,7,36.67488327800000,29,0.060967553914901884,0.8909656110355547,0.0017874489994171361,0.004002331455216631,0.029803769185933554,0.6938674088062817
98,Christian,84275.0,162900.0,791.0,37.9,57019.0,27024.0,80364.0,676.0,510.0,497.0,2416.0,Missouri,43,157.46085469000000,29,0.008021358647285672,0.9535924058142984,0.005897359833877187,0.0060516167309403734,0.02866805102343518,0.7451301437480436
99,Greene,288429.0,141200.0,754.0,36.0,44808.0,26378.0,260190.0,9482.0,1415.0,5573.0,10430.0,Missouri,77,433.99134554000000,29,0.03287464159290501,0.9020937561756966,0.019321912845102263,0.004905886717355051,0.036161412340645356,0.6038411836169341
100,Harrison,8554.0,74600.0,515.0,43.0,40168.0,20986.0,8236.0,76.0,14.0,8.0,185.0,Missouri,81,11.55959248500000,29,0.008884732288987608,0.9628244096329203,0.0009352349777881693,0.0016366612111292963,0.021627308861351415,0.8037408511791814
101,St. Clair,9383.0,83600.0,588.0,49.9,38470.0,22672.0,8978.0,70.0,69.0,19.0,119.0,Missouri,185,13.92186874700000,29,0.007460300543536183,0.9568368325695407,0.002024938718959821,0.007353724821485666,0.01268251092401151,0.7561555075593952
102,Adair,25325.0,118100.0,619.0,27.7,40046.0,22000.0,23100.0,870.0,52.0,608.0,337.0,Missouri,1,44.67113161600000,29,0.03435340572556762,0.912142152023692,0.024007897334649555,0.0020533070088845015,0.013307008884501481,0.5896733815763741
103,Scotland,4898.0,87200.0,527.0,37.5,42965.0,23809.0,4772.0,79.0,0.0,0.0,0.0,Missouri,199,11.23005577800000,29,0.016129032258064516,0.9742752143732135,0.0,0.0,0.0,0.7748983739837398
104,Sullivan,6317.0,75400.0,605.0,42.6,42604.0,21661.0,5773.0,184.0,43.0,6.0,1150.0,Missouri,211,9.39686907670000,29,0.029127750514484723,0.9138831723919582,0.0009498179515592844,0.006807028652841538,0.18204844071552953,0.7578439259855189
